player,squad,position,games,minutes,minutes_90s,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc
Paul Pogba,Manchester Utd,MF,16.0,1204.0,13.4,0.0,1.0,1.0,0.0,0.07,0.22,0.3,0.3,0.14,0.2,0.35,0.09,0.29,-0.9,8.0,2.0,0.125,0.25
Dennis Praet,Leicester City,MF,27.0,1134.0,12.6,0.0,0.0,2.0,0.0,0.08,0.16,0.24,0.24,0.11,0.06,0.17,0.11,0.17,-0.3,5.5,14.0,0.5185185185185185,2.5454545454545454
Davy Pröpper,Brighton,MF,35.0,2829.0,31.4,0.0,0.0,4.0,0.0,0.03,0.06,0.1,0.1,0.04,0.07,0.11,0.04,0.11,-0.3,5.0,0.0,0.0,0.0
Christian Pulisic,Chelsea,FW,25.0,1722.0,19.1,0.0,0.0,0.0,0.0,0.47,0.21,0.68,0.68,0.41,0.18,0.59,0.41,0.59,1.1,8.4,0.0,0.0,0.0
Marcus Rashford,Manchester Utd,FW,31.0,2643.0,29.4,6.0,8.0,3.0,0.0,0.58,0.24,0.82,0.61,0.6,0.16,0.76,0.39,0.55,-0.6,9.5,2.0,0.06451612903225806,0.21052631578947367
Nathan Redmond,Southampton,"MF,FW",32.0,2762.0,30.7,0.0,0.0,2.0,0.0,0.13,0.13,0.26,0.26,0.16,0.1,0.26,0.16,0.26,-1.0,6.4,2.0,0.0625,0.3125
Declan Rice,West Ham,MF,38.0,3420.0,38.0,0.0,0.0,6.0,0.0,0.03,0.08,0.11,0.11,0.03,0.04,0.07,0.03,0.07,-0.1,5.0,4.0,0.10526315789473684,0.8
Richarlison,Everton,FW,36.0,3070.0,34.1,0.0,0.0,8.0,0.0,0.38,0.09,0.47,0.47,0.26,0.14,0.41,0.26,0.41,4.0,8.0,14.0,0.3888888888888889,1.75
Jay Rodriguez,Burnley,FW,36.0,2016.0,22.4,1.0,1.0,1.0,0.0,0.36,0.04,0.4,0.36,0.36,0.04,0.4,0.32,0.37,0.0,6.0,1.0,0.027777777777777776,0.16666666666666666
Oriol Romeu,Southampton,MF,30.0,1860.0,20.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,-0.3,4.5,2.0,0.06666666666666667,0.4444444444444444
Allan Saint-Maximin,Newcastle Utd,"MF,FW",26.0,1863.0,20.7,0.0,0.0,0.0,0.0,0.14,0.19,0.34,0.34,0.15,0.17,0.32,0.15,0.32,0.0,5.5,4.0,0.15384615384615385,0.7272727272727273
Mohamed Salah,Liverpool,FW,34.0,2876.0,32.0,3.0,3.0,1.0,0.0,0.59,0.31,0.91,0.81,0.6,0.22,0.82,0.53,0.75,-0.1,12.1,23.0,0.6764705882352942,1.9008264462809918
Mbwana Samatta,Aston Villa,FW,14.0,943.0,10.5,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.18,0.02,0.2,0.18,0.2,-0.8,6.0,0.0,0.0,0.0
Billy Sharp,Sheffield Utd,FW,25.0,1051.0,11.7,0.0,0.0,1.0,1.0,0.26,0.17,0.43,0.43,0.24,0.22,0.46,0.24,0.46,0.2,6.0,2.0,0.08,0.3333333333333333
Jonjo Shelvey,Newcastle Utd,MF,26.0,2119.0,23.5,0.0,0.0,3.0,0.0,0.25,0.08,0.34,0.34,0.1,0.16,0.26,0.1,0.26,3.6,5.5,4.0,0.15384615384615385,0.7272727272727273
Gylfi Sigurðsson,Everton,MF,35.0,2560.0,28.4,1.0,1.0,3.0,0.0,0.07,0.11,0.18,0.14,0.15,0.13,0.28,0.12,0.26,-2.2,7.0,2.0,0.05714285714285714,0.2857142857142857
Bernardo Silva,Manchester City,"FW,MF",34.0,2030.0,22.6,0.0,0.0,5.0,0.0,0.27,0.31,0.58,0.58,0.3,0.23,0.53,0.3,0.53,-0.7,7.5,0.0,0.0,0.0
