player,squad,position,games,minutes,minutes_90s,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc,pen_conv
Mattéo Guendouzi,Arsenal,MF,24.0,1748.0,19.4,0.0,6.0,0.0,0.0,0.05,0.05,0.05,0.03,0.07,0.1,0.03,0.1,-0.7,5.0,48.0,2.0,9.6,0.0
İlkay Gündoğan,Manchester City,MF,31.0,2020.0,22.4,2.0,7.0,0.0,0.09,0.04,0.13,0.09,0.2,0.12,0.32,0.13,0.26,-2.5,5.5,65.0,2.096774193548387,11.818181818181818,0.5
Sébastien Haller,West Ham,FW,32.0,2266.0,25.2,0.0,1.0,0.0,0.28,0.04,0.32,0.32,0.31,0.08,0.38,0.31,0.38,-0.7,6.5,102.0,3.1875,15.692307692307692,0.0
Isaac Hayden,Newcastle Utd,MF,29.0,2223.0,24.7,0.0,4.0,1.0,0.04,0.08,0.12,0.12,0.05,0.06,0.11,0.05,0.11,-0.2,5.0,73.0,2.5172413793103448,14.6,0.0
Jordan Henderson,Liverpool,MF,30.0,2238.0,24.9,0.0,2.0,0.0,0.16,0.2,0.36,0.36,0.06,0.12,0.17,0.06,0.17,2.6,5.5,116.0,3.8666666666666667,21.09090909090909,0.0
Jeff Hendrick,Burnley,MF,24.0,1931.0,21.5,0.0,8.0,0.0,0.09,0.09,0.19,0.19,0.07,0.04,0.11,0.07,0.11,0.4,5.0,67.0,2.7916666666666665,13.4,0.0
Onel Hernández,Norwich City,"FW,MF",26.0,1384.0,15.4,0.0,0.0,0.0,0.07,0.13,0.2,0.2,0.17,0.06,0.23,0.17,0.23,-1.6,6.0,0.0,0.0,0.0,0.0
Son Heung-min,Tottenham,"FW,MF",30.0,2476.0,27.5,1.0,0.0,2.0,0.4,0.36,0.76,0.76,0.31,0.25,0.56,0.28,0.53,2.3,9.0,169.0,5.633333333333334,18.77777777777778,0.0
Conor Hourihane,Aston Villa,MF,27.0,1534.0,17.0,0.0,4.0,0.0,0.18,0.29,0.47,0.47,0.1,0.3,0.4,0.1,0.4,1.3,6.0,83.0,3.074074074074074,13.833333333333334,0.0
Callum Hudson-Odoi,Chelsea,FW,22.0,863.0,9.6,0.0,1.0,0.0,0.1,0.52,0.63,0.63,0.17,0.29,0.46,0.17,0.46,-0.7,6.0,53.0,2.409090909090909,8.833333333333334,0.0
Pierre Højbjerg,Southampton,MF,33.0,2752.0,30.6,0.0,5.0,0.0,0.0,0.03,0.03,0.03,0.09,0.07,0.15,0.09,0.15,-2.6,5.0,75.0,2.272727272727273,15.0,0.0
Kelechi Iheanacho,Leicester City,FW,20.0,960.0,10.7,0.0,1.0,0.0,0.47,0.28,0.75,0.75,0.45,0.23,0.68,0.45,0.68,0.2,6.0,64.0,3.2,10.666666666666666,0.0
Danny Ings,Southampton,FW,38.0,2804.0,31.2,2.0,3.0,0.0,0.71,0.06,0.77,0.74,0.54,0.09,0.63,0.5,0.58,5.0,8.5,198.0,5.2105263157894735,23.294117647058822,0.5
Alex Iwobi,Everton,"MF,FW",25.0,1596.0,17.7,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.13,0.13,0.26,0.13,0.26,-1.3,6.0,52.0,2.08,8.666666666666666,0.0
Daniel James,Manchester Utd,FW,33.0,2287.0,25.4,0.0,4.0,0.0,0.12,0.24,0.35,0.35,0.14,0.16,0.3,0.14,0.3,-0.6,6.5,95.0,2.878787878787879,14.615384615384615,0.0
Gabriel Jesus,Manchester City,FW,34.0,2030.0,22.6,1.0,3.0,0.0,0.62,0.31,0.93,0.93,0.82,0.17,0.99,0.79,0.96,-4.6,9.5,146.0,4.294117647058823,15.368421052631579,0.0
Raúl Jiménez,Wolves,FW,38.0,3236.0,36.0,4.0,3.0,0.0,0.47,0.17,0.64,0.53,0.4,0.15,0.56,0.32,0.47,2.5,8.5,194.0,5.105263157894737,22.823529411764707,1.0
Joelinton,Newcastle Utd,FW,38.0,2683.0,29.8,0.0,7.0,0.0,0.07,0.07,0.13,0.13,0.16,0.08,0.24,0.16,0.24,-2.8,6.0,78.0,2.0526315789473686,13.0,0.0
Diogo Jota,Wolves,"FW,MF",34.0,2284.0,25.4,0.0,4.0,0.0,0.28,0.04,0.32,0.32,0.38,0.15,0.53,0.38,0.53,-2.7,6.5,105.0,3.088235294117647,16.153846153846153,0.0
Harry Kane,Tottenham,FW,29.0,2587.0,28.7,2.0,4.0,0.0,0.63,0.07,0.7,0.63,0.37,0.09,0.45,0.32,0.4,7.4,10.5,158.0,5.448275862068965,15.047619047619047,1.0
N'Golo Kanté,Chelsea,MF,22.0,1732.0,19.2,0.0,4.0,0.0,0.16,0.0,0.16,0.16,0.08,0.11,0.19,0.08,0.19,1.5,5.0,57.0,2.590909090909091,11.4,0.0
Moise Kean,Everton,FW,29.0,852.0,9.5,0.0,1.0,0.0,0.21,0.21,0.42,0.42,0.45,0.11,0.56,0.45,0.56,-2.2,6.0,53.0,1.8275862068965518,8.833333333333334,0.0
Naby Keïta,Liverpool,MF,18.0,815.0,9.1,0.0,1.0,0.0,0.22,0.33,0.55,0.55,0.17,0.25,0.42,0.17,0.42,0.4,5.5,52.0,2.888888888888889,9.454545454545455,0.0
Mateo Kovačić,Chelsea,MF,31.0,2073.0,23.0,0.0,8.0,0.0,0.04,0.13,0.17,0.17,0.06,0.08,0.14,0.06,0.14,-0.4,5.5,68.0,2.193548387096774,12.363636363636363,0.0
Alexandre Lacazette,Arsenal,FW,30.0,1874.0,20.8,0.0,8.0,0.0,0.48,0.19,0.67,0.67,0.41,0.15,0.56,0.41,0.56,1.5,8.5,118.0,3.933333333333333,13.882352941176471,0.0
Érik Lamela,Tottenham,"MF,FW",25.0,1215.0,13.5,0.0,3.0,0.0,0.15,0.07,0.22,0.22,0.2,0.12,0.32,0.2,0.32,-0.7,6.0,65.0,2.6,10.833333333333334,0.0
Manuel Lanzini,West Ham,"MF,FW",24.0,1379.0,15.3,0.0,1.0,0.0,0.0,0.13,0.13,0.13,0.13,0.17,0.3,0.13,0.3,-2.0,6.5,50.0,2.0833333333333335,7.6923076923076925,0.0
Jesse Lingard,Manchester Utd,"MF,FW",22.0,935.0,10.4,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.26,0.09,0.35,0.26,0.35,-1.7,6.0,32.0,1.4545454545454546,5.333333333333333,0.0
Giovani Lo Celso,Tottenham,"MF,FW",28.0,1492.0,16.6,0.0,6.0,0.0,0.0,0.12,0.12,0.12,0.08,0.12,0.2,0.08,0.2,-1.3,7.0,54.0,1.9285714285714286,7.714285714285714,0.0
Shane Long,Southampton,FW,26.0,1395.0,15.5,0.0,0.0,0.0,0.13,0.13,0.26,0.26,0.3,0.09,0.4,0.3,0.4,-2.7,5.5,62.0,2.3846153846153846,11.272727272727273,0.0
Sean Longstaff,Newcastle Utd,MF,23.0,1378.0,15.3,0.0,2.0,1.0,0.07,0.07,0.13,0.13,0.06,0.06,0.13,0.06,0.13,0.0,5.0,44.0,1.9130434782608696,8.8,0.0
Douglas Luiz,Aston Villa,MF,36.0,2612.0,29.0,0.0,8.0,0.0,0.1,0.07,0.17,0.17,0.08,0.05,0.13,0.08,0.13,0.6,5.0,90.0,2.5,18.0,0.0
John Lundstram,Sheffield Utd,MF,34.0,2458.0,27.3,0.0,5.0,0.0,0.18,0.11,0.29,0.29,0.19,0.09,0.28,0.19,0.28,-0.3,5.5,144.0,4.235294117647059,26.181818181818183,0.0
