player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Joe Gomez,DF,Liverpool,28.0,2004.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,45.5,39.7,0.5769230769230769,156.0,5.5,93.0,3.3214285714285716,16.90909090909091
Frederic Guilbert,DF,Aston Villa,25.0,2041.0,7.0,0.0,0.0,0.09,0.09,0.02,0.06,0.08,45.9,27.6,0.4634146341463415,200.0,4.5,62.0,2.48,13.777777777777779
Kortney Hause,DF,Aston Villa,18.0,1545.0,3.0,0.0,0.06,0.0,0.06,0.13,0.01,0.14,50.0,40.1,0.8148148148148148,180.0,4.5,34.0,1.8888888888888888,7.555555555555555
Rob Holding,DF,Arsenal,8.0,581.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,66.7,29.8,0.5,69.0,4.5,16.0,2.0,3.5555555555555554
Mason Holgate,DF,Everton,27.0,2054.0,5.0,0.0,0.0,0.13,0.13,0.1,0.02,0.12,56.8,31.8,0.56,209.0,5.0,71.0,2.6296296296296298,14.2
Reece James,DF,Chelsea,24.0,1515.0,1.0,0.0,0.0,0.12,0.12,0.05,0.2,0.24,45.2,26.9,0.5476190476190477,108.0,4.5,0.0,0.0,0.0
Ben Johnson,DF,West Ham,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,66.7,16.7,0.5,27.0,4.0,6.0,2.0,1.5
Phil Jones,DF,Manchester Utd,2.0,135.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,100.0,50.0,0.5,24.0,5.0,2.0,1.0,0.4
James Justin,DF,Leicester City,13.0,1012.0,1.0,0.0,0.0,0.09,0.09,0.03,0.11,0.14,56.5,36.1,0.5428571428571428,64.0,4.5,35.0,2.6923076923076925,7.777777777777778
Michael Keane,DF,Everton,31.0,2559.0,3.0,0.0,0.07,0.0,0.07,0.06,0.02,0.08,55.6,34.4,0.6341463414634146,306.0,5.0,90.0,2.903225806451613,18.0
Martin Kelly,DF,Crystal Palace,19.0,1549.0,0.0,0.0,0.0,0.06,0.06,0.0,0.05,0.06,41.4,34.8,0.75,167.0,4.5,64.0,3.3684210526315788,14.222222222222221
Max Kilman,DF,Wolves,3.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.4,0.75,23.0,4.0,5.0,1.6666666666666667,1.25
Sead Kolašinac,DF,Arsenal,26.0,1701.0,4.0,0.0,0.0,0.11,0.11,0.03,0.05,0.09,48.0,29.1,0.5142857142857142,92.0,5.0,55.0,2.1153846153846154,11.0
Ezri Konsa,DF,Aston Villa,25.0,2039.0,3.0,0.0,0.04,0.09,0.13,0.07,0.02,0.09,37.5,32.6,0.6666666666666666,159.0,4.5,65.0,2.6,14.444444444444445
Emil Krafth,DF,Newcastle Utd,17.0,1020.0,0.0,0.0,0.0,0.09,0.09,0.03,0.04,0.06,28.6,29.9,0.6,69.0,4.5,37.0,2.176470588235294,8.222222222222221
Aymeric Laporte,DF,Manchester City,15.0,1097.0,1.0,0.0,0.08,0.0,0.08,0.03,0.01,0.04,53.8,41.9,0.6666666666666666,64.0,6.0,63.0,4.2,10.5
Jamaal Lascelles,DF,Newcastle Utd,24.0,2076.0,5.0,0.0,0.04,0.0,0.04,0.01,0.01,0.02,35.7,36.8,0.5555555555555556,231.0,4.5,73.0,3.0416666666666665,16.22222222222222
Florian Lejeune,DF,Newcastle Utd,6.0,442.0,0.0,0.0,0.41,0.0,0.41,0.1,0.01,0.11,55.6,32.8,0.75,51.0,4.5,24.0,4.0,5.333333333333333
Victor Lindelöf,DF,Manchester Utd,35.0,3092.0,6.0,0.0,0.03,0.0,0.03,0.01,0.01,0.02,70.6,29.0,0.5333333333333333,246.0,5.0,116.0,3.3142857142857145,23.2
Kevin Long,DF,Burnley,8.0,564.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,37.5,31.5,0.8,58.0,4.5,21.0,2.625,4.666666666666667
Matthew Lowton,DF,Burnley,17.0,1530.0,2.0,0.0,0.0,0.06,0.06,0.0,0.07,0.07,55.8,29.7,0.5454545454545454,147.0,4.5,48.0,2.823529411764706,10.666666666666666
David Luiz,DF,Arsenal,33.0,2809.0,5.0,2.0,0.06,0.03,0.1,0.06,0.03,0.09,38.5,34.6,0.6060606060606061,276.0,5.5,94.0,2.8484848484848486,17.09090909090909
